category,name,description,price
LAMB STARTERS,MUTTON GHEE ROAST,Mutton Roasted With A Fiery Red And Spicy With The Flavour Of Ghee,370
LAMB STARTERS,LAHORI SEEKH KEBAB,Succulent Minced Lamb Kebabs In The True Lahori Street Food Style,370
LAMB STARTERS,RAILWAY MUTTON DRY,"With Bone Mutton Cooked In Rich Indian Spices, As Served In The Railway Canteen Of The British Raj",350
EGG STARTERS,EGG BHURJI,Desi Style Scrambled Eggs,170
EGG STARTERS,SPICY MASALA OMELETTE,Slow Cooked Egg Omlet With Masala,180
EGG STARTERS,EGG CHILLI,Spicy Boiled Egg With Chilli Fry,210
FROM THE GRILL,PERI PERI PANEER/CHICKEN,Peri Peri Basted Paneer / Chicken Cubes Served With Tzatziki Dip,260/280
FROM THE GRILL,THAI GRILLED FISH IN BANANA LEAF,Delicately Grilled Fish With Basil Flavour And Served Hot,330
FROM THE GRILL,HARISSA GRILLED FISH,Fish Marinated In A Spicy Tunisian Harissa Sauce And Grilled To Perfection,330
FROM THE GRILL,THAI GRILLED CHICKEN,Boneless Chicken Marinated With Thai Spices And Grilled,270
SEAFOOD STARTERS,PAN FRIED CHILLY FISH,"Pan Fried Fish Tossed With Shredded, Onion, Capsicum And Green Chilli",330
SEAFOOD STARTERS,THAI PEPPER GARLIC PRAWNS,Prawns Prepared In Thai Style With A Flavour Of Lemon Grass,380
SEAFOOD STARTERS,PRAWNS IN RCP SAUCE,Wok Tossed Prawns Cooked With Roasted Chilli Paste And Seasonings,380
SEAFOOD STARTERS,H.O.C FISH FINGERS,Classic Crumb fried Served with Tartar Sauce,330
SEAFOOD STARTERS,ASIAN STYLE JUMBO PRAWNS,Tsing Hol Style / Singapore Chilli Garlic Style,499
SANDWICHES/BURGERS,TOASTED VEG CLUB SANDWICH,"Double Decker Layered With Lettuce, Cucumber, Cheese, Tomato And Served With Fries",240
SANDWICHES/BURGERS,TOASTED CHICKEN CLUB SANDWICH,"Double Decker Layered With Lettuce, Cheese, Chicken, Fried Egg And Served With Fries",270
SANDWICHES/BURGERS,CLASSIC BURGERS (VEG / CHICKEN / LAMB),"Tender And Juicy Veg, Chicken Or Lamb Patties, Grilled And Served Fries With",250/280/300
SANDWICHES/BURGERS,HOC BURGER- THE BIG ONE,"Double Chicken, Double Cheese And Topped With A Sunny Side Up Fried Egg, Served With Fries",350
THE GRILL SIZZLERS,MIXED VEGETABLE SIZZLER,"Grilled Vegetable Patties, Cottage Cheese And English Vegetables, Served With French Fries",350
THE GRILL SIZZLERS,ROSEMARY SCENTED COTTAGE CHEESE STEAKS,"Cottage Cheese Steaks Wth Bell Peppers, Sage Pilaf With Grilled Vegetables & Jalapeno Tomato Coulis",380
THE GRILL SIZZLERS,CHICKEN CAFREAL,"Authentic Goan Herb Marinated Chicken, Pan Fried, Stewed And Served With Potato Wedges & Sauteed Vegetables",390
THE GRILL SIZZLERS,CHICKEN SIZZLER,"Chicken with red wine sauce, served with saute vegetable and french fries",380
THE GRILL SIZZLERS,TEQUILA LIME GRILLED CHICKEN,"Flesh Flamed Tequila Marinated Lime & Chilli Chicken With Herbed Country Mash, Garden Grilled Vegetables Cumin Coffee Scented Jus",400
THE GRILL SIZZLERS,GRILLED FISH,"Grilled Fish Fillet, With Lemon butter sauce Served With Herb Rice & saute vegetables",400
THE GRILL SIZZLERS,CAPTAIN MORGAN FLAMED LAMB,"Rum Infused Caribbean Lamb & Pine Nut Patty With A Centred Egg, Charred Peppers, Jalapeno Aloll, Smoked Onion Marmalade, English Cheddar Melt, French Fries With A Sage & Onion",440
PASTAS,BAKED CHEESE MACARONI,All Time Favourite In A Cheesy Cream Sauce And Baked in The Oven,300
PASTAS,SPAGHETTI AGLIO OLIO (VEG/ CHICKEN / SHRIMPS),NA,300/340/380
PASTAS,FIERY PENNE PASTA (VEG/ CHICKEN / SHRIMPS),NA,300/340/380
PASTAS,SPICY CAJUN LINGUINE ALFREDO (VEG/ CHICKEN / SHRIMPS),NA,300/340/380
PASTAS,PENNE WITH PESTO (VEG/ CHICKEN / SHRIMPS),NA,300/340/380
PIZZAS,MARGHERITA,"An All-Time Favourite Of Pomodoro, Water Buffalo Mozzarella And Basil Chiffonade",290
PIZZAS,FUNGHI,"Shitake, Oyster & Button Mushrooms With Shallots, Chives, Charmed Peppers And White Truffle Oil",300
PIZZAS,PANEER TIKKA & CHARRED PEPPERS,"Tandoori Paneer Mirch Tikka With Green Bell Peppers, Onion roundels, Spring Greens & Mint Coulis",350
PIZZAS,MEDITERRANEAN GARDEN,"Organic Greens With Imported FETA Cheese, Bell Peppers, Zucchini, Asparagus Spears, Artichokes & Sun Dried Tomatoes",360
PIZZAS,TANDOORI MURGH TIKKA WITH KALAMATA OLIVES,"Chicken Tikka With Shallots, Capers, Charred Peppers, Kalamata Olives & Sweet Chilli Treacle",380
PIZZAS,BARBEQUED GERMAN CHICKEN SAUSAGES,"BBQ Glazed Chicken Sausages With Caramelized Shallots, Bell Peppers, Jalapenos & Capers",390
PIZZAS,MUTTON MASALA KEEMA PIZZA,Minced Mutton Cooked In Indian Spices & Herbs Topped With Chillies & Assorted Bell peppers,390
PIZZAS,FRUITS OF THE SEA,"Fruits Of The Sea - Calamari, Shrimps, Sea Bream Dices Served With Maple Butter & Fresh Red Chile",390
PIZZAS,MIXED MEAT MAGIC,"Age Old English Cheddar Topped With Roast Chicken Slvers, Apple Glazed Chicken Ham, Lamb Mince, Calamari & Shrimps",420
MAIN COURSE,FISH AND CHIPS,"Crumb Fried Fish In Hoc Signature Marination, Served With French Fries",350
MAIN COURSE,CHICKEN BASKET,"Crumb Fried Chicken Supreme In Hoc Signature Marination, Served With French Fries",350
MAIN COURSE,THAI CURRY [Red/Green],"Basil Flavoured Thal Curry/bird-eye Chillies Flavoured Thai Curry Cooked With Garden Fresh Vegetables/chicken/prawns, Served With Steamed Rice",250/280/300
MAIN COURSE,CHINESE CHOPSUEY,"Vegetables/chicken Tossed In Celery Sauce, Served On A Bed Of Crispy Noodles",280/300
MAIN COURSE,AMERICAN CHOPSUEY,"Vegetables/chicken Tossed In A Sweet & Sour Sauce, Served On A Bed Of Crispy Noodles",280/300
MAIN COURSE,EXOTIC VEGETABLES WITH SAUCE OF YOUR CHOICE,"Hot Garlic, Chili Basil, Sichuan",250
MAIN COURSE,CHICKEN WITH SAUCE OF YOUR CHOICE,"Hunan, Sichuan, Black Pepper",280
MAIN COURSE,BASA FISH/PRAWNS WITH CHOICE OF YOUR CHOICE,"Ginger Chilli, Sichuan, Pepper Garlic",270/300
MAIN COURSE,TIKKA MASALA GRAVY,Paneer/chicken Cooked In A Spicy Onion Tomato Base Gravy,250/280
MAIN COURSE,PALAK PANEER,"Cottage Cheese Cooked In Spinach Puree, Tempered Cumin And Ginger Garlic Paste",260
MAIN COURSE,DAL MAKHANI,Slow Cooked Lentils Finished With White Butter,240
MAIN COURSE,MAKHANI GRAVY,Paneer/Chicken Cooked In A Creamy Tomato Base Gravy,250/280
MAIN COURSE,KHUMB HARA PYAZA,Vintage Mushrooms & Spring Onions Cooked To Perfection,270
MAIN COURSE,DAL TADKA,"Yellow Lentil Tempered With Garlic And Cumin Seeds, Punished With Chopped Onion And Tomato",190
MAIN COURSE,BUTTER CHICKEN,All-Time Favorite,280
MAIN COURSE,KADAI VEG/CHICKEN,"Mix Veg/Chicken Pleces Tossed With Onion, Capsicum And Garnished With Onion Tomato Gravy",250/270
MAIN COURSE,MURGH METHI KHAS,Tender Chicken Cooked In Cream Based Onion And Tomato Gravy With Aromatic Spices And Flavor,280
MAIN COURSE,DUM KA GHOST,Slow Cooked Mutton In A Spicy Onion & Tomato Gravy,330
RICE & NOODLES,STIR FRIED RICE,(veg/egg/chicken/prawns),200/220/250/280
RICE & NOODLES,STIR FRIED NOODLES,(veg/egg/chicken/prawns),200/220/250/280
RICE & NOODLES,SICHUAN FRIED RICE,(veg/egg/chicken/prawns),200/220/250/280
RICE & NOODLES,SICHUAN FRIED NOODLES,(veg/egg/chicken/prawns),200/220/250/280
RICE & NOODLES,CHILLY GARLIC NOODLES,(veg/egg/chiden/prawns),230/250/270/290
ACCOMPANIMENTS,JEERA RICE,NA,160
ACCOMPANIMENTS,STEAMED RICE,NA,130
ACCOMPANIMENTS,ROTI PLAIN/BUTTER,NA,35/40
ACCOMPANIMENTS,KULCHA PLAIN/BUTTER,NA,35/40
ACCOMPANIMENTS,NAAN PLAIN/BUTTER,NA,40/45
ACCOMPANIMENTS,GARLIC NAAN,NA,50
ACCOMPANIMENTS,LACCHA PARATHA,NA,45
DESSERTS,GULAB JAMUN,Cardamom Flavoured Milk Dumplings Soaked In Sugar Syrup,90
DESSERTS,WALNUT BROWNIE,Warm Chocolate Brownie Served With Vanilla ice cream,170
DESSERTS,CARAMEL CUSTARD,Custard Dessert With A Layer Of Soft Caramel Glazed On Top,150
DESSERTS,CHOICE OF ICE CREAMS-2 Scoops,Ask for the Flavours,90
